https://www.cian.ru/sale/flat/212633712/,Некрасовка,38.5
https://www.cian.ru/sale/flat/211834401/,Некрасовка,62.1
https://www.cian.ru/sale/flat/212633712/,Некрасовка,38.5
https://www.cian.ru/sale/flat/203969331/,Мичуринский проспект,46.4
https://www.cian.ru/sale/flat/207509341/,Кунцевская,41.8
https://www.cian.ru/sale/flat/203969336/,Мичуринский проспект,45.8
https://www.cian.ru/sale/flat/203969343/,Мичуринский проспект,45.5
https://www.cian.ru/sale/flat/203969292/,Мичуринский проспект,44.7
https://www.cian.ru/sale/flat/213581709/,Улица 1905 года,70.0
https://www.cian.ru/sale/flat/195901829/,Первомайская,32.6
https://www.cian.ru/sale/flat/196010099/,Первомайская,42.3
https://www.cian.ru/sale/flat/212633712/,Некрасовка,38.5
https://www.cian.ru/sale/flat/211834401/,Некрасовка,62.1
https://www.cian.ru/sale/flat/212836793/,,227.0
